Stand: 12.01.2021 06:50:13;;;
;;;
;;;
Landkreis;LKNR;Anzahl;Inzidenz
LK Saale-Holzland-Kreis;16074;280;338
LK Saalekreis;15088;804;437
LK Saale-Orla-Kreis;16075;323;402
LK Saalfeld-Rudolstadt;16073;615;596
LK Saarlouis;10044;467;240
LK Saar-Pfalz-Kreis;10045;144;101
LK Sächsische Schweiz-Osterzgebirge;14628;1291;526
SK Salzgitter;03102;118;113
LK Salzlandkreis;15089;408;216
LK Sankt Wendel;10046;106;122
LK Schaumburg;03257;135;86
LK Schleswig-Flensburg;01059;190;94
LK Schmalkalden-Meiningen;16066;499;399
SK Schwabach;09565;68;166
LK Schwäbisch Hall;08127;376;191
LK Schwalm-Eder-Kreis;06634;214;119
LK Schwandorf;09376;175;118
LK Schwarzwald-Baar-Kreis;08326;322;152
SK Schweinfurt;09662;64;120
LK Schweinfurt;09678;125;108
SK Schwerin;13004;126;132
LK Segeberg;01060;264;95
LK Siegen-Wittgenstein;05970;366;132
LK Sigmaringen;08437;173;132
LK Soest;05974;364;121
SK Solingen;05122;198;124
LK Sömmerda;16068;198;285
LK Sonneberg;16072;199;345
SK Speyer;07318;65;129
LK Spree-Neiße;12071;555;488
LK Stade;03359;149;73
LK Stadtverband Saarbrücken;10041;797;242
LK Starnberg;09188;193;141
LK Steinburg;01061;78;60
LK Steinfurt;05566;650;145
LK Stendal;15090;206;185
LK Stormarn;01062;294;120
SK Straubing;09263;41;86
LK Straubing-Bogen;09278;181;179
SK Stuttgart;08111;764;120
LK Südliche Weinstraße;07337;126;114
LK Südwestpfalz;07340;120;127
SK Suhl;16054;160;435
LK Teltow-Fläming;12072;616;362
LK Tirschenreuth;09377;167;232
LK Traunstein;09189;314;177
SK Trier;07211;86;77
LK Trier-Saarburg;07235;122;82
LK Tübingen;08416;202;88
LK Tuttlingen;08327;230;163
LK Uckermark;12073;283;238
LK Uelzen;03360;53;57
SK Ulm;08421;119;94
LK Unna;05978;606;153
LK Unstrut-Hainich-Kreis;16064;402;393
LK Unterallgäu;09778;273;188
LK Vechta;03460;181;127
LK Verden;03361;98;71
LK Viersen;05166;449;150
LK Vogelsbergkreis;06535;279;264
LK Vogtlandkreis;14523;661;292
LK Vorpommern-Greifswald;13075;254;108
LK Vorpommern-Rügen;13073;181;81
LK Vulkaneifel;07233;48;79
LK Waldeck-Frankenberg;06635;310;198
LK Waldshut;08337;269;157
LK Warendorf;05570;498;179
LK Wartburgkreis;16063;382;321
SK Weiden i.d.OPf.;09363;88;206
LK Weilheim-Schongau;09190;212;156
SK Weimar;16055;155;238
LK Weimarer Land;16071;235;286
LK Weißenburg-Gunzenhausen;09577;215;227
LK Werra-Meißner-Kreis;06636;182;181
LK Wesel;05170;570;124
LK Wesermarsch;03461;90;102
LK Westerwaldkreis;07143;254;126
LK Wetteraukreis;06440;431;140
SK Wiesbaden;06414;384;138
SK Wilhelmshaven;03405;47;62
LK Wittenberg;15091;503;403
LK Wittmund;03462;87;153
