X2;Name;Bezeichnung;Kopierhier
Landkreis;Haßberge;NA;Haßberge, Landkreis
Landkreis;Havelland;NA;Havelland, Landkreis
Landkreis;Heidekreis;NA;Heidekreis, Landkreis
Stadtkreis;Heidelberg;Stadtkreis;Heidelberg, Stadtkreis
Landkreis;Heidenheim;NA;Heidenheim, Landkreis
Landkreis;Heilbronn;NA;Heilbronn, Landkreis
Stadtkreis;Heilbronn;Stadtkreis;Heilbronn, Stadtkreis
Kreis;Heinsberg;NA;Heinsberg, Kreis
Landkreis;Helmstedt;NA;Helmstedt, Landkreis
Kreis;Herford;NA;Herford, Kreis
Kreisfreie Stadt;Herne;Stadt;Herne, Kreisfreie Stadt
Landkreis;Hersfeld-Rotenburg;NA;Hersfeld-Rotenburg, Landkreis
Kreis;Herzogtum Lauenburg;NA;Herzogtum Lauenburg, Kreis
Landkreis;Hildburghausen;NA;Hildburghausen, Landkreis
Landkreis;Hildesheim;NA;Hildesheim, Landkreis
Kreis;Hochsauerlandkreis;NA;Hochsauerlandkreis, Kreis
Landkreis;Hochtaunuskreis;NA;Hochtaunuskreis, Landkreis
Kreisfreie Stadt;Hof;NA;Hof, Kreisfreie Stadt
Landkreis;Hof;NA;Hof, Landkreis
Landkreis;Hohenlohekreis;NA;Hohenlohekreis, Landkreis
Landkreis;Holzminden;NA;Holzminden, Landkreis
Kreis;Höxter;NA;Höxter, Kreis
Landkreis;Ilm-Kreis;NA;Ilm-Kreis, Landkreis
Kreisfreie Stadt;Ingolstadt;NA;Ingolstadt, Kreisfreie Stadt
Kreisfreie Stadt;Jena;Stadt;Jena, Kreisfreie Stadt
Landkreis;Jerichower Land;NA;Jerichower Land, Landkreis
Landkreis;Kaiserslautern;NA;Kaiserslautern, Landkreis
Kreisfreie Stadt;Kaiserslautern;kreisfreie Stadt;Kaiserslautern, Kreisfreie Stadt
Landkreis;Karlsruhe;NA;Karlsruhe, Landkreis
Stadtkreis;Karlsruhe;Stadtkreis;Karlsruhe, Stadtkreis
Landkreis;Kassel;NA;Kassel, Landkreis
Kreisfreie Stadt;Kassel;documenta-Stadt;Kassel, Kreisfreie Stadt
Kreisfreie Stadt;Kaufbeuren;NA;Kaufbeuren, Kreisfreie Stadt
Landkreis;Kelheim;NA;Kelheim, Landkreis
Kreisfreie Stadt;Kempten (Allgäu);NA;Kempten (Allgäu), Kreisfreie Stadt
Kreisfreie Stadt;Kiel;Landeshauptstadt;Kiel, Kreisfreie Stadt
Landkreis;Kitzingen;NA;Kitzingen, Landkreis
Kreis;Kleve;NA;Kleve, Kreis
Kreisfreie Stadt;Koblenz;kreisfreie Stadt;Koblenz, Kreisfreie Stadt
Kreisfreie Stadt;Köln;Stadt;Köln, Kreisfreie Stadt
Landkreis;Konstanz;NA;Konstanz, Landkreis
Kreisfreie Stadt;Krefeld;Stadt;Krefeld, Kreisfreie Stadt
Landkreis;Kronach;NA;Kronach, Landkreis
Landkreis;Kulmbach;NA;Kulmbach, Landkreis
Landkreis;Kusel;NA;Kusel, Landkreis
Landkreis;Kyffhäuserkreis;NA;Kyffhäuserkreis, Landkreis
Landkreis;Lahn-Dill-Kreis;NA;Lahn-Dill-Kreis, Landkreis
Kreisfreie Stadt;Landau in der Pfalz;kreisfreie Stadt;Landau in der Pfalz, Kreisfreie Stadt
Landkreis;Landkreis Rostock;NA;Landkreis Rostock, Landkreis
Landkreis;Landsberg am Lech;NA;Landsberg am Lech, Landkreis
Kreisfreie Stadt;Landshut;NA;Landshut, Kreisfreie Stadt
Landkreis;Landshut;NA;Landshut, Landkreis
Landkreis;Leer;NA;Leer, Landkreis
Landkreis;Leipzig;NA;Leipzig, Landkreis
Kreisfreie Stadt;Leipzig;Stadt;Leipzig, Kreisfreie Stadt
Kreisfreie Stadt;Leverkusen;Stadt;Leverkusen, Kreisfreie Stadt
Landkreis;Lichtenfels;NA;Lichtenfels, Landkreis
Landkreis;Limburg-Weilburg;NA;Limburg-Weilburg, Landkreis
Landkreis;Lindau (Bodensee);NA;Lindau (Bodensee), Landkreis
Kreis;Lippe;NA;Lippe, Kreis
Landkreis;Lörrach;NA;Lörrach, Landkreis
Kreisfreie Stadt;Lübeck;Hansestadt;Lübeck, Kreisfreie Stadt
Landkreis;Lüchow-Dannenberg;NA;Lüchow-Dannenberg, Landkreis
Landkreis;Ludwigsburg;NA;Ludwigsburg, Landkreis
Kreisfreie Stadt;Ludwigshafen am Rhein;kreisfreie Stadt;Ludwigshafen am Rhein, Kreisfreie Stadt
Landkreis;Ludwigslust-Parchim;NA;Ludwigslust-Parchim, Landkreis
Landkreis;Lüneburg;NA;Lüneburg, Landkreis
Kreisfreie Stadt;Magdeburg;Landeshauptstadt;Magdeburg, Kreisfreie Stadt
Landkreis;Main-Kinzig-Kreis;NA;Main-Kinzig-Kreis, Landkreis
Landkreis;Main-Spessart;NA;Main-Spessart, Landkreis
Landkreis;Main-Tauber-Kreis;NA;Main-Tauber-Kreis, Landkreis
Landkreis;Main-Taunus-Kreis;NA;Main-Taunus-Kreis, Landkreis
Kreisfreie Stadt;Mainz;kreisfreie Stadt;Mainz, Kreisfreie Stadt
Landkreis;Mainz-Bingen;NA;Mainz-Bingen, Landkreis
Stadtkreis;Mannheim;Stadtkreis;Mannheim, Stadtkreis
Landkreis;Mansfeld-Südharz;NA;Mansfeld-Südharz, Landkreis
Landkreis;Marburg-Biedenkopf;NA;Marburg-Biedenkopf, Landkreis
Kreis;Märkischer Kreis;NA;Märkischer Kreis, Kreis
Landkreis;Märkisch-Oderland;NA;Märkisch-Oderland, Landkreis
Landkreis;Mayen-Koblenz;NA;Mayen-Koblenz, Landkreis
Landkreis;Mecklenburgische Seenplatte;NA;Mecklenburgische Seenplatte, Landkreis
Landkreis;Meißen;NA;Meißen, Landkreis
Kreisfreie Stadt;Memmingen;NA;Memmingen, Kreisfreie Stadt
Landkreis;Merzig-Wadern;NA;Merzig-Wadern, Landkreis
Kreis;Mettmann;NA;Mettmann, Kreis
Landkreis;Miesbach;NA;Miesbach, Landkreis
Landkreis;Miltenberg;NA;Miltenberg, Landkreis
